file	size	category	purpose	original_location	modified_for_release	notes
examples/paired_targets_example.csv	869 B	example	Ten-row post-UniRef50 pairing-list schema example	AlphaFold_Data/refined_homo_pretrain_final.csv	yes	First 10 source rows only; not a data release.
metadata/dataset_stage_counts.csv	168 B	metadata	Construction-stage yields	edgegcl_dataset_characterization_20260816/tables/dataset_stage_counts.csv	no	Source result.
metadata/preprocessing_exclusion_reasons.csv	156 B	metadata	Graph-construction exclusion counts	edgegcl_dataset_characterization_20260816/tables/preprocessing_exclusion_reasons.csv	no	Source result.
metadata/dataset_qc_summary.json	996 B	metadata	High-confidence and UniRef50 summary statistics	edgegcl_dataset_characterization_20260816/tables/dataset_qc_summary.json	no	Source result.
metadata/delta_d_summary.json	1.3 KB	metadata	Contact/label and edge statistics	edgegcl_dataset_characterization_20260816/tables/delta_d_summary.json	no	Source result.
metadata/rmsd_dataset_qc_summary.json	2.5 KB	metadata	Corrected RMSD and mapping-coverage statistics	edgegcl_rmsd_dataset_qc_20260817/tables/rmsd_dataset_qc_summary.json	no	Source result.
metadata/rmsd_preflight_biopython_10samples.csv	1.2 KB	metadata	Biopython SVD preflight validation	edgegcl_rmsd_dataset_qc_20260817/tables/rmsd_preflight_biopython_10samples.csv	no	Source result.
metadata/rmsd_independent_validation_30samples.csv	3.3 KB	metadata	Distributed Biopython SVD validation	edgegcl_rmsd_dataset_qc_20260817/tables/rmsd_independent_validation_30samples.csv	no	Source result.
metadata/figure2_source_statistics.json	359 B	metadata	Published figure source totals	edgegcl_figure2_dataset_characterization_20260817/tables/figure2_source_statistics.json	no	Source result.
figures/Figure2_dataset_characterization.pdf	39 KB	metadata	Dataset-characterization figure	edgegcl_figure2_dataset_characterization_20260817/figures/Figure2_dataset_characterization.pdf	no	Directly related to construction/QC only.
figures/Figure2_dataset_characterization.png	721 KB	metadata	Dataset-characterization figure preview	edgegcl_figure2_dataset_characterization_20260817/figures/Figure2_dataset_characterization.png	no	Directly related to construction/QC only.
figures/Fig_RMSD_dataset_QC.pdf	24 KB	metadata	Corrected RMSD QC figure	edgegcl_rmsd_dataset_qc_20260817/figures/Fig_RMSD_dataset_QC.pdf	no	Directly related to construction/QC only.
figures/Fig_RMSD_dataset_QC.png	235 KB	metadata	Corrected RMSD QC figure preview	edgegcl_rmsd_dataset_qc_20260817/figures/Fig_RMSD_dataset_QC.png	no	Directly related to construction/QC only.
